PassengerID,Survived
1171,0
1175,0
1003,1
1009,1
1070,1
1293,0
1037,0
1169,0
1211,0
951,1
1164,1
1076,1
1118,0
927,0
1203,0
1096,0
1000,0
1289,1
1231,1
1129,0
981,1
910,0
1137,0
962,0
1011,1
1105,1
1104,0
1188,1
1291,0
1150,1
1016,0
1205,0
1133,1
968,0
1019,1
1242,1
1308,0
998,0
1115,0
1283,1
932,0
1165,1
1103,0
1305,0
969,1
1223,1
1196,1
1217,0
1243,0
965,1
1189,0
1304,1
971,0
1128,0
1218,1
990,1
1142,1
925,1
1280,0
1002,0
1092,1
1162,0
1228,0
1251,0
931,1
894,0
1086,1
964,0
1100,1
942,0
1056,0
983,0
1276,1
1207,1
1287,1
1240,0
935,1
970,0
1062,0
1279,0
1210,0
1106,0
1192,0
1059,0
1260,1
1241,1
936,1
995,0
1026,0
1284,1
1095,1
1288,0
940,1
1071,0
963,0
1073,0
993,0
1017,0
1121,0
1182,0
1069,0
904,1
893,0
1139,0
1179,0
1158,0
1232,0
1010,0
1093,1
1028,0
1155,1
1262,0
1077,0
1294,1
1122,0
976,1
919,0
1275,0
977,0
1216,1
1209,0
921,0
1151,0
1134,0
1214,0
1250,0
1265,0
1144,0
1088,1
1259,0
1125,0
1225,0
1220,0
1013,0
984,0
1064,1
1038,0
954,0
950,0
1270,0
1253,0
1053,1
1032,0
946,0
1180,0
1181,0
934,0
966,1
1234,0
912,0
979,0
1245,0
1029,0
1191,0
1005,0
939,0
1046,0
1008,0
908,0
987,0
1212,0
930,0
975,0
1292,1
1081,0
1083,0
1152,0
1268,0
1074,1
996,1
1085,0
901,0
961,0
1047,0
899,0
994,0
1233,0
972,1
982,0
1138,1
1300,1
1187,0
1249,0
1208,0
905,0
914,1
920,1
1204,0
1306,1
1136,1
1244,0
933,0
945,1
937,0
947,0
1101,0
900,1
1224,0
1238,0
991,0
909,0
938,1
1034,0
959,0
1167,1
1098,0
1257,1
1054,1
1148,0
1075,0
973,0
1174,1
1227,1
944,1
1309,1
1052,1
1256,1
1143,0
1146,0
911,1
1066,0
924,0
1033,1
1117,0
1023,0
1027,0
1114,1
1063,0
1269,0
903,1
1130,1
1248,1
1266,1
1078,1
986,1
917,0
1044,1
1299,1
923,0
1246,1
1298,0
1021,0
1194,0
1141,0
1050,1
1163,0
907,1
913,1
974,1
892,0
1018,0
1041,0
1230,0
1267,1
1102,0
1166,0
1239,1
1252,0
1015,0
1043,0
1263,1
1274,1
1178,0
1020,0
1127,0
1168,0
1058,0
1236,1
916,1
948,0
1004,1
1185,1
1132,1
1147,0
1281,0
985,0
1157,0
1221,0
1107,0
1258,0
1094,1
1195,0
997,0
1170,0
1226,0
1111,0
1177,0
941,0
1049,1
1089,1
1235,1
1303,1
955,0
1099,0
1286,0
897,0
1090,0
1271,0
1156,0
895,0
989,0
1112,1
1198,1
943,0
1080,0
902,0
1285,0
1153,0
1200,0
1254,1
1084,1
1040,0
1193,0
1282,0
1051,1
1261,0
1272,0
1149,0
1060,1
1145,0
1065,0
1068,1
1087,0
1108,1
1007,0
918,1
1131,1
960,1
1273,0
1237,0
1006,1
1035,0
1255,0
1173,1
1097,0
1024,1
1045,0
1061,0
1057,0
1172,0
1123,1
928,0
1119,1
956,0
1001,0
929,0
1295,1
1030,0
922,0
1120,0
1082,0
1091,0
1206,1
958,0
1048,1
1022,0
1110,1
1247,0
1161,0
1042,1
1140,1
1072,0
1301,1
1055,0
1135,0
1202,0
1277,1
978,0
988,1
1213,0
1160,0
1264,0
1116,1
1184,0
1201,0
957,1
915,0
1012,1
1159,0
896,0
1176,1
1067,1
1014,1
967,0
1124,0
1199,1
1036,1
1154,1
1109,0
999,0
1278,0
1290,0
992,1
1297,0
1031,0
1222,1
952,0
926,1
1296,1
1186,0
1215,1
1113,0
1079,0
1229,0
1302,1
949,0
1025,0
1183,0
1197,1
1219,0
980,1
1039,0
906,1
1126,1
1307,0
1190,0
898,0
953,0
